Alias,Localization,IP
yccK,Cytoplasmic,0.49
yccS,IntegralMembraneProtein,2.60
yccU,Cytoplasmic,0.69
yccW,Cytoplasmic,0.72
ycdT,IntegralMembraneProtein,2.74
ycdX,Cytoplasmic,0.75
ycdY,Cytoplasmic,0.62
ycdZ,IntegralMembraneProtein,2.96
yceA,Cytoplasmic,0.62
yceB,OutermembraneLipoprotein,0.79
yceD,Cytoplasmic,0.43
yceF,Cytoplasmic,0.71
yceG,Membrane-anchored,5.60
yceH,Cytoplasmic,0.63
yceI,Periplasmic,0.87
yceM,-,0.80
yceN,IntegralMembraneProtein,1.21
ycfD,Cytoplasmic,0.74
ycfH,Cytoplasmic,0.68
ycfJ,Membrane-anchored,0.74
ycfL,-,0.99
ycfM,Lipoprotein,0.84
ycfP,-,0.90
ycfQ,Cytoplasmic,0.61
ycfS,Periplasmic,0.77
ycfZ,IntegralMembraneProtein,2.34
ycgE,Cytoplasmic,0.60
ycgF,-,0.88
ycgJ,-,0.74
ycgK,Periplasmic,0.55
ycgL,-,0.59
ycgM,-,0.72
ycgN,Cytoplasmic,0.60
ychA,Cytoplasmic,0.78
ychE,IntegralMembraneProtein,7.41
ychF,Cytoplasmic,0.58
ychJ,Cytoplasmic,0.64
ychM,IntegralMembraneProtein,2.49
ychN,Cytoplasmic,0.57
ychO,Cytoplasmic,0.90
ychQ,IntegralMembraneProtein,1.52
yciA,Cytoplasmic,0.60
yciB,IntegralMembraneProtein,6.17
yciC,IntegralMembraneProtein,2.69
yciH,Cytoplasmic,0.60
yciI,Cytoplasmic,0.54
yciK,Cytoplasmic,1.94
yciM,Periplasmic,1.16
yciN,Cytoplasmic,0.56
yciO,Cytoplasmic,0.61
yciQ,IntegralMembraneProtein,1.69
yciS,IntegralMembraneProtein,19.48
yciT,Cytoplasmic,0.66
yciU,Cytoplasmic,0.58
yciY,-,0.61
ycjF,IntegralMembraneProtein,1.03
ycjG,Cytoplasmic,0.93
ycjW,Cytoplasmic,0.78
ycjX,-,1.10
ycjZ,Cytoplasmic,0.63
ydaL,Cytoplasmic,0.76
ydbH,-,1.90
ydbK,-,1.42
ydcD,Membrane-anchored,3.48
ydcF,Cytoplasmic,0.79
ydcI,Cytoplasmic,0.62
ydcL,Lipoprotein,0.56
ydcM,-,0.96
ydcP,-,1.14
ydcR,Cytoplasmic,0.70
ydcX,IntegralMembraneProtein,7.42
ydcY,-,0.59
yddA,IntegralMembraneProtein,3.81
yddB,Periplasmic,1.10
yddE,Cytoplasmic,0.59
yddG,IntegralMembraneProtein,5.64
yddW,Lipoprotein,0.91
ydeA,IntegralMembraneProtein,2.56
ydeE,IntegralMembraneProtein,4.18
ydeP,-,0.90
ydfG,Cytoplasmic,0.63
ydfH,-,0.57
ydfI,-,1.44
ydgA,Cytoplasmic,0.58
ydgC,IntegralMembraneProtein,1.93
ydgH,Periplasmic,0.51
ydgI,IntegralMembraneProtein,2.51
ydgJ,-,0.77
ydgK,IntegralMembraneProtein,6.35
ydhA,OutermembraneLipoprotein,0.60
ydhB,Cytoplasmic,0.74
ydhC,IntegralMembraneProtein,2.49
ydhF,-,0.75
ydhI,IntegralMembraneProtein,2.38
ydhJ,IntegralMembraneProtein,1.32
ydhK,IntegralMembraneProtein,1.96
ydhO,-,0.72
ydhP,IntegralMembraneProtein,2.07
ydhQ,-,0.97
ydhR,Cytoplasmic,0.53
ydiA,Cytoplasmic,0.85
ydiH,-,0.57
ydiI,Cytoplasmic,0.58
ydiJ,-,1.11
ydiK,IntegralMembraneProtein,5.94
ydiU,-,0.88
ydiY,-,0.67
ydjA,Cytoplasmic,0.73
ydjF,Cytoplasmic,0.68
ydjM,IntegralMembraneProtein,2.00
ydjN,IntegralMembraneProtein,5.23
yeaC,Cytoplasmic,0.55
yeaD,Cytoplasmic,0.57
yeaE,Cytoplasmic,0.96
yeaJ,IntegralMembraneProtein,2.09
yeaK,Cytoplasmic,0.56
yeaN,IntegralMembraneProtein,4.85
yeaP,-,1.05
yeaQ,IntegralMembraneProtein,7.43
yeaY,Lipoprotein,0.74
yeaZ,Cytoplasmic,1.01
yebA,Cytoplasmic,0.61
yebC,Cytoplasmic,0.57
yebF,extracellular,0.72
yebG,Cytoplasmic,0.59
yebK,Cytoplasmic,0.62
yebN,IntegralMembraneProtein,2.02
yebO,IntegralMembraneProtein,5.71
yebQ,IntegralMembraneProtein,4.92
yebR,Cytoplasmic,0.53
yebS,IntegralMembraneProtein,2.12
yebT,IntegralMembraneProtein,2.49
yebU,Cytoplasmic,0.87
yebY,Cytoplasmic,0.59
yebZ,IntegralMembraneProtein,2.15
yecA,Cytoplasmic,0.78
yecC,Cytoplasmic,0.62
yecD,Cytoplasmic,0.79
yecE,Cytoplasmic,0.78
yecF,Cytoplasmic,0.58
yecJ,Cytoplasmic,0.59
yecM,Cytoplasmic,0.68
yecN,IntegralMembraneProtein,4.26
yecS,IntegralMembraneProtein,6.78
yedA,IntegralMembraneProtein,4.19
yedD,OutermembraneLipoprotein,0.60
yedE,IntegralMembraneProtein,4.22
yedF,Cytoplasmic,0.77
yedI,IntegralMembraneProtein,2.01
yedJ,Cytoplasmic,0.73
yedQ,IntegralMembraneProtein,5.71
yedR,IntegralMembraneProtein,5.90
yedV,IntegralMembraneProtein,5.41
yedW,Cytoplasmic,0.81
yeeA,IntegralMembraneProtein,6.40
yeeD,Cytoplasmic,0.55
yeeE,IntegralMembraneProtein,2.63
yeeF,IntegralMembraneProtein,3.33
yeeN,Cytoplasmic,0.54
yeeX,-,0.93
yeeZ,Cytoplasmic,1.34
yefM,Cytoplasmic,0.59
yegD,Cytoplasmic,0.93
yegE,IntegralMembraneProtein,2.35
yegH,IntegralMembraneProtein,2.79
yegQ,-,0.75
yegS,Cytoplasmic,0.92
yegU,-,0.72
yegW,-,1.31
yehS,Cytoplasmic,0.53
yehU,IntegralMembraneProtein,2.30
yeiB,IntegralMembraneProtein,2.76
yeiE,Cytoplasmic,0.95
yeiG,Cytoplasmic,0.67
yeiH,IntegralMembraneProtein,6.66
yeiI,Cytoplasmic,1.24
yeiS,IntegralMembraneProtein,5.19
yejA,Periplasmic,3.36
yejB,IntegralMembraneProtein,4.64
yejE,IntegralMembraneProtein,8.57
yejF,Cytoplasmic,1.27
yejG,Cytoplasmic,0.58
yejH,Cytoplasmic,0.82
yejK,Cytoplasmic,0.78
yejL,Cytoplasmic,0.53
yejM,IntegralMembraneProtein,3.25
yfaD,Cytoplasmic,0.68
yfaE,Cytoplasmic,0.72
yfaY,Cytoplasmic,0.80
yfaZ,OutermembraneProtein,0.75
yfbB,Cytoplasmic,0.99
yfbQ,Cytoplasmic,0.73
yfbR,Cytoplasmic,0.56
yfbS,IntegralMembraneProtein,4.11
yfbT,Cytoplasmic,0.74
yfbU,Cytoplasmic,0.61
yfbV,IntegralMembraneProtein,1.22
yfcA,IntegralMembraneProtein,8.97
yfcD,-,0.73
yfcE,Cytoplasmic,0.73
yfcH,-,0.82
yfcJ,IntegralMembraneProtein,2.51
yfcL,Cytoplasmic,0.50
yfcM,Cytoplasmic,0.73
yfcN,Cytoplasmic,0.70
yfcZ,Cytoplasmic,0.71
yfdG,IntegralMembraneProtein,3.11
yfdH,IntegralMembraneProtein,0.78
yfdI,IntegralMembraneProtein,6.82
yfdQ,-,0.59
yfdZ,Cytoplasmic,0.99
yfeA,IntegralMembraneProtein,2.18
yfeH,IntegralMembraneProtein,4.64
yfeK,Periplasmic,1.05
yfeX,Cytoplasmic,0.79
yfeY,Lipoprotein,0.60
yfeZ,IntegralMembraneProtein,4.48
yffB,Cytoplasmic,0.62
yffS,-,0.72
yfgA,Membrane-anchored,10.42
yfgC,Periplasmic,1.03
yfgD,Cytoplasmic,0.51
yfgG,IntegralMembraneProtein,1.11
yfgJ,Cytoplasmic,0.54
yfgM,IntegralMembraneProtein,0.57
yfgO,IntegralMembraneProtein,3.03
yfhA,Cytoplasmic,0.75
yfhB,Membrane-anchored,5.33
yfhD,Periplasmic,6.84
yfhG,OutermembraneLipoprotein,0.77
yfhK,IntegralMembraneProtein,2.44
yfhL,Cytoplasmic,0.55
yfhM,Lipoprotein,0.66
yfiC,Cytoplasmic,0.78
yfiD,Cytoplasmic,0.50
yfiF,Cytoplasmic,0.62
yfiH,Cytoplasmic,0.74
yfiN,IntegralMembraneProtein,12.41
yfiP,-,0.66
yfiQ,-,1.25
yfiR,-,6.30
yfjD,IntegralMembraneProtein,20.24
yfjF,-,0.64
yfjG,-,0.62
yfjH,-,1.08
yfjK,Cytoplasmic,1.82
yfjO,Cytoplasmic,0.42
yfjW,IntegralMembraneProtein,5.33
ygaC,Cytoplasmic,0.54
ygaD,Cytoplasmic,0.59
ygaH,IntegralMembraneProtein,5.92
ygaM,IntegralMembraneProtein,0.63
ygaZ,IntegralMembraneProtein,2.04
ygbE,IntegralMembraneProtein,2.93
ygbI,Cytoplasmic,0.67
ygcF,Cytoplasmic,0.71
ygdD,IntegralMembraneProtein,8.48
ygdE,Cytoplasmic,0.83
ygdH,Cytoplasmic,0.89
ygdI,OutermembraneLipoprotein,0.59
ygdL,Membrane-anchored,0.74
ygdQ,IntegralMembraneProtein,3.05
ygdR,OutermembraneLipoprotein,0.60
ygeA,Cytoplasmic,0.73
ygeR,OutermembraneLipoprotein,0.82
ygfA,Cytoplasmic,0.58
ygfB,Cytoplasmic,0.59
ygfX,Membrane-anchored,2.64
ygfY,Cytoplasmic,0.51
ygfZ,Cytoplasmic,0.62
yggE,Periplasmic,0.73
yggG,OutermembraneLipoprotein,0.69
yggL,Cytoplasmic,0.56
yggN,Periplasmic,0.62
yggS,Cytoplasmic,0.59
yggT,IntegralMembraneProtein,2.15
yggU,Cytoplasmic,0.52
yggW,Cytoplasmic,0.83
yggX,Cytoplasmic,0.55
yghB,IntegralMembraneProtein,6.19
yghG,OutermembraneLipoprotein,0.70
yghJ,Lipoprotein,0.70
yghU,Cytoplasmic,0.93
ygiB,Cytoplasmic,0.57
ygiC,Cytoplasmic,0.97
ygiF,Cytoplasmic,0.75
ygiH,IntegralMembraneProtein,1.79
ygiN,Cytoplasmic,0.55
ygiQ,Cytoplasmic,0.82
ygiS,Periplasmic,0.93
ygiT,Cytoplasmic,0.63
ygiW,Periplasmic,0.62
ygjD,Cytoplasmic,0.76
ygjP,Cytoplasmic,0.59
ygjR,Cytoplasmic,1.18
yhaH,IntegralMembraneProtein,9.59
yhaJ,Cytoplasmic,0.69
yhaM,Cytoplasmic,0.94
yhaO,IntegralMembraneProtein,2.44
yhbC,Cytoplasmic,0.55
yhbE,IntegralMembraneProtein,1.61
yhbJ,Cytoplasmic,0.68
yhbP,Cytoplasmic,1.77
yhbS,Cytoplasmic,0.75
yhbT,Cytoplasmic,0.66
yhbW,Cytoplasmic,0.84
yhbX,IntegralMembraneProtein,3.62
yhbY,Cytoplasmic,0.46
yhcB,Membrane-anchored,0.95
yhcM,Cytoplasmic,1.32
yhcN,Periplasmic,0.52
yhdE,Cytoplasmic,0.72
yhdH,Cytoplasmic,0.97
yhdL,Cytoplasmic,0.58
yhdP,Cytoplasmic,1.04
yhdT,IntegralMembraneProtein,31.14
yheL,Cytoplasmic,0.71
yheM,Cytoplasmic,0.67
yheN,Cytoplasmic,0.84
yheO,Cytoplasmic,0.62
yheS,Cytoplasmic,0.98
yheT,Cytoplasmic,0.79
yhfA,Cytoplasmic,0.57
yhfK,IntegralMembraneProtein,1.34
yhgE,IntegralMembraneProtein,2.57
yhgF,Cytoplasmic,0.61
yhgN,IntegralMembraneProtein,5.54
yhhJ,IntegralMembraneProtein,2.30
yhhK,Cytoplasmic,0.68
yhhL,IntegralMembraneProtein,11.56
yhhM,Membrane-anchored,2.35
yhhN,IntegralMembraneProtein,6.89
yhhQ,IntegralMembraneProtein,4.18
yhhS,IntegralMembraneProtein,2.96
yhhW,Cytoplasmic,0.83
yhhX,Cytoplasmic,0.60
yhiI,Membrane-anchored,1.37
yhiN,Cytoplasmic,0.91
yhiP,IntegralMembraneProtein,8.51
yhiQ,Cytoplasmic,0.80
yhiR,Cytoplasmic,0.64
yhjD,IntegralMembraneProtein,0.82
yhjE,IntegralMembraneProtein,2.82
yhjJ,Periplasmic,0.83
yhjK,IntegralMembraneProtein,3.20
yhjV,IntegralMembraneProtein,3.41
yhjX,IntegralMembraneProtein,3.68
yiaD,OutermembraneLipoprotein,0.72
yiaF,IntegralMembraneProtein,0.00
yiaJ,Cytoplasmic,0.79
yiaU,Cytoplasmic,0.90
yibA,Cytoplasmic,0.71
yibF,Cytoplasmic,0.92
yibK,Cytoplasmic,0.66
yibL,Cytoplasmic,0.58
yibN,Membrane-anchored,7.05
yibQ,Periplasmic,0.71
yicC,Cytoplasmic,0.82
yicE,IntegralMembraneProtein,9.20
yicG,IntegralMembraneProtein,3.24
yicH,Membrane-anchored,1.89
yicL,IntegralMembraneProtein,6.29
yicN,Membrane-anchored,5.55
yidA,Cytoplasmic,0.81
yidC,IntegralMembraneProtein,2.46
yidD,Cytoplasmic,1.08
yidE,IntegralMembraneProtein,4.04
yidQ,-,0.98
yidR,Cytoplasmic,0.70
yidZ,Cytoplasmic,0.75
yieE,Cytoplasmic,0.69
yieF,Cytoplasmic,0.68
yieG,IntegralMembraneProtein,5.22
yieH,Cytoplasmic,1.01
yieM,Cytoplasmic,0.87
yieP,Cytoplasmic,0.62
yifE,Cytoplasmic,0.54
yifK,IntegralMembraneProtein,5.91
yifL,Lipoprotein,0.00
yigF,IntegralMembraneProtein,5.24
yigI,Cytoplasmic,0.66
yigL,Cytoplasmic,0.74
yigM,IntegralMembraneProtein,6.23
yigP,Cytoplasmic,0.70
yigZ,Cytoplasmic,0.79
yihD,Cytoplasmic,0.56
yihG,Cytoplasmic,2.92
yihI,Cytoplasmic,0.60
yihM,Cytoplasmic,0.74
yihW,Cytoplasmic,0.65
yihX,Cytoplasmic,0.85
yiiD,Cytoplasmic,1.06
yiiM,Cytoplasmic,0.80
yiiQ,Periplasmic,0.72
yiiR,IntegralMembraneProtein,12.65
yiiU,Cytoplasmic,0.51
yijD,IntegralMembraneProtein,5.60
yijE,IntegralMembraneProtein,4.02
yijP,IntegralMembraneProtein,3.27
yjaG,Cytoplasmic,0.75
yjaH,OutermembraneLipoprotein,0.58
yjbB,IntegralMembraneProtein,2.80
yjbR,Cytoplasmic,0.61
yjcB,IntegralMembraneProtein,1.88
yjcC,IntegralMembraneProtein,2.24
yjcD,IntegralMembraneProtein,3.78
yjcE,IntegralMembraneProtein,4.76
yjcO,-,1.83
yjdC,Cytoplasmic,0.77
yjdF,IntegralMembraneProtein,9.94
yjdM,Cytoplasmic,0.52
yjdP,-,0.84
yjeE,Cytoplasmic,0.67
yjeF,Cytoplasmic,0.65
yjeH,IntegralMembraneProtein,4.72
yjeI,OutermembraneLipoprotein,0.71
yjeK,Cytoplasmic,0.77
yjeM,IntegralMembraneProtein,5.91
yjeP,IntegralMembraneProtein,2.07
yjeS,Cytoplasmic,0.76
yjeT,IntegralMembraneProtein,28.72
yjfP,Cytoplasmic,1.33
yjfZ,Cytoplasmic,0.81
yjgA,Cytoplasmic,0.54
yjgB,Cytoplasmic,0.82
yjgF,Cytoplasmic,0.57
yjgJ,Cytoplasmic,0.59
yjgK,Cytoplasmic,0.62
yjgM,Cytoplasmic,0.65
yjgP,IntegralMembraneProtein,6.83
yjgQ,IntegralMembraneProtein,7.30
yjgR,Cytoplasmic,0.93
yjhB,IntegralMembraneProtein,5.40
yjhC,Cytoplasmic,0.87
yjhU,Cytoplasmic,0.97
yjiA,Cytoplasmic,0.99
yjiN,IntegralMembraneProtein,1.44
yjiY,IntegralMembraneProtein,2.22
yjjA,Periplasmic,0.62
yjjG,Cytoplasmic,0.93
yjjJ,Cytoplasmic,0.79
yjjK,Cytoplasmic,0.73
yjjU,Cytoplasmic,0.79
yjjX,Cytoplasmic,0.69
yjtD,-,0.95
ylaB,IntegralMembraneProtein,1.19
ylaC,IntegralMembraneProtein,5.35
ylbA,Cytoplasmic,0.56
yliE,-,1.49
yliF,IntegralMembraneProtein,9.54
yliJ,Cytoplasmic,0.62
ymbA,Lipoprotein,0.69
ymdC,-,1.06
ymgD,-,0.62
ymgF,IntegralMembraneProtein,14.11
ymgG,-,0.66
ymjA,Cytoplasmic,0.57
ynaI,IntegralMembraneProtein,2.21
ynaJ,IntegralMembraneProtein,1.05
yncA,Cytoplasmic,0.62
yncB,Cytoplasmic,1.02
yncD,OutermembraneProtein,1.14
yncE,-,0.71
yneE,IntegralMembraneProtein,9.26
yneG,-,2.10
yneH,-,1.03
ynfA,IntegralMembraneProtein,6.22
ynfB,-,0.71
ynfC,Lipoprotein,1.00
ynfF,-,1.45
ynfM,IntegralMembraneProtein,5.66
ynhF,IntegralMembraneProtein,0.52
yniB,IntegralMembraneProtein,7.35
yniC,Cytoplasmic,0.95
ynjB,-,1.39
ynjE,Periplasmic,0.58
ynjF,IntegralMembraneProtein,1.66
ynjI,IntegralMembraneProtein,1.51
yoaA,-,0.99
yoaB,Cytoplasmic,0.61
yoaE,IntegralMembraneProtein,2.74
yoaF,OutermembraneProtein,0.84
yoaH,Cytoplasmic,0.59
yobA,Periplasmic,0.59
yobD,IntegralMembraneProtein,13.74
yobF,-,0.56
yobH,-,7.01
yodA,Cytoplasmic,0.59
yodB,IntegralMembraneProtein,9.79
yohJ,IntegralMembraneProtein,7.09
yohK,IntegralMembraneProtein,4.39
yohN,Periplasmic,0.55
yohO,IntegralMembraneProtein,0.48
yojI,IntegralMembraneProtein,2.99
ypdA,IntegralMembraneProtein,3.29
ypdB,Cytoplasmic,1.49
ypeA,-,0.72
ypeC,Cytoplasmic,0.64
ypfG,-,1.54
ypfH,Cytoplasmic,0.67
ypfI,Cytoplasmic,1.06
ypfJ,IntegralMembraneProtein,6.56
ypfM,Cytoplasmic,0.46
ypfN,IntegralMembraneProtein,34.24
ypjD,IntegralMembraneProtein,4.65
yqaA,IntegralMembraneProtein,2.00
yqaB,Cytoplasmic,0.65
yqaE,IntegralMembraneProtein,0.55
yqcA,-,0.77
yqcC,Cytoplasmic,0.58
yqeF,Cytoplasmic,0.88
yqeG,IntegralMembraneProtein,5.44
yqfA,IntegralMembraneProtein,2.84
yqfB,Cytoplasmic,0.51
yqgA,IntegralMembraneProtein,2.47
yqgB,Cytoplasmic,0.53
yqgE,Cytoplasmic,0.71
yqgF,Cytoplasmic,0.51
yqhA,IntegralMembraneProtein,1.10
yqhC,Cytoplasmic,1.31
yqhD,Cytoplasmic,0.67
yqiA,Cytoplasmic,0.85
yqiB,Cytoplasmic,0.64
yqiC,Cytoplasmic,0.56
yqjA,IntegralMembraneProtein,4.97
yqjB,IntegralMembraneProtein,1.62
yqjC,Periplasmic,0.61
yqjD,Membrane-anchored,0.59
yqjE,IntegralMembraneProtein,2.43
yqjG,Cytoplasmic,0.95
yqjH,Cytoplasmic,0.69
yqjI,Cytoplasmic,0.70
yqjK,-,0.75
yraL,Cytoplasmic,0.60
yraM,Lipoprotein,0.00
yraN,Cytoplasmic,0.66
yraP,Lipoprotein,0.58
yraQ,IntegralMembraneProtein,3.01
yraR,Cytoplasmic,0.86
yrbA,Cytoplasmic,0.53
yrbB,Cytoplasmic,0.69
yrbC,Periplasmic,0.90
yrbD,IntegralMembraneProtein,3.51
yrbE,IntegralMembraneProtein,2.27
yrbF,Cytoplasmic,0.79
yrbG,IntegralMembraneProtein,3.88
yrbK,Membrane-anchored,6.82
yrbL,Cytoplasmic,0.65
yrdA,Cytoplasmic,0.69
yrdB,Cytoplasmic,0.66
yrdD,Cytoplasmic,0.65
yrfF,IntegralMembraneProtein,8.04
yrfG,Cytoplasmic,0.82
ysgA,-,0.91
ytfB,Cytoplasmic,2.21
ytfF,IntegralMembraneProtein,3.50
ytfG,Cytoplasmic,0.52
ytfJ,-,0.68
ytfK,Cytoplasmic,0.50
ytfL,IntegralMembraneProtein,4.06
ytfM,OutermembraneProtein,0.97
ytfN,Membrane-anchored,1.32
ytfP,Cytoplasmic,0.65
ytjA,IntegralMembraneProtein,11.55
ytjB,Membrane-anchored,10.12
ytjC,Membrane-anchored,0.85
zapA,Cytoplasmic,0.55
zipA,IntegralMembraneProtein,1.74
zitB,IntegralMembraneProtein,1.86
zntA,IntegralMembraneProtein,2.32
zntB,IntegralMembraneProtein,1.13
zntR,Cytoplasmic,0.64
znuA,Periplasmic,0.62
znuB,IntegralMembraneProtein,6.06
znuC,Cytoplasmic,0.61
zraR,Cytoplasmic,1.13
zupT,IntegralMembraneProtein,7.89
zur,Cytoplasmic,0.61
zwf,Cytoplasmic,0.93